date,AHT,ALT,AT,Total Precipitation,Total snowfall,"AHT=Average high temperature, L=low, unit=F, total xx unit=inch"
Jan-05,48,8,26,3.03,,
Feb-05,45,19,33,1.94,,
Mar-05,65,20,36,1.47,,
Apr-05,70,38,53,1.2,,
May-05,71,40,58,1.43,,
Jun-05,86,62,76,0.67,,
Jul-05,91,67,77,1.49,,
Aug-05,84,66,76,2.39,,
Sep-05,83,53,71,2.13,,
Oct-05,80,40,56,1.19,,
Nov-05,62,20,43,1.55,,
Dec-05,40,6,24,0.82,,
Jan-10,39,8,22,0.67,,
Feb-10,35,20,28,0.75,,
Mar-10,64,32,43,1.21,,
Apr-10,72,38,56,3.27,,
May-10,82,46,62,5.15,,
Jun-10,80,62,71,7.31,,
Jul-10,84,66,78,10.24,,
Aug-10,84,70,77,3.62,,
Sep-10,71,48,58,1.71,,
Oct-10,72,40,56,2.18,,
Nov-10,59,26,43,2.5,,
Dec-10,46,6,19,2.04,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
