ZipCode,MeanHousehold,MedianHousehold,MeanPerCapita,High Income Households,MedianHousehold0_25,MedianHousehold25_44,MedianHousehold45_64,MedianHousehold65_
98006,135836,180163,64946,28.90%,,153906,148475,87335
98011,95896,111105,45384,11.80%,31342,108563,110145,58810
98012,101652,118189,43828,12.10%,54837,114554,110028,62385
98013,,,,,,,,
98020,91813,127523,55699,18.50%,43077,94336,139933,62182
98028,105007,126364,49407,16.60%,58094,125377,118846,58269
98033,125407,167366,70263,25.70%,51818,142981,145035,65441
98040,142413,219325,88203,38.80%,,168589,204714,85865
98053,134272,176364,66095,31.40%,,169583,162022,73794
98070,80144,114474,52165,11.70%,,74894,117195,46331
98101,74394,111380,75850,15.80%,46484,99732,60391,39655
98102,87425,123178,75380,13.80%,63408,90247,96969,69580
98103,99048,124504,60391,17.20%,60521,109855,115032,59814
98104,43601,80724,48897,9.40%,30515,66134,26131,27000
98105,57417,112253,39772,15.80%,12583,74839,127484,78515
98106,65781,79366,33689,5.90%,31979,72994,71145,32283
98107,93943,127197,66964,16.30%,56190,102956,105622,33799
98108,58526,78996,29370,5.80%,41250,69446,57664,46658
98109,102292,129064,74081,14.50%,62850,115291,95220,62827
98110,115230,144566,59920,23.30%,70451,136192,139643,82287
98111,,,,,,,,
98112,115265,199439,90911,29.00%,,116117,138393,84659
98113,,,,,,,,
98114,,,,,,,,
98115,108069,140105,59175,22.10%,56293,118739,139241,65156
98116,107276,129880,63408,17.80%,81801,112951,133699,59795
98117,111220,137788,58916,19.80%,59712,129613,122254,59438
98118,72545,98072,35515,10.00%,56111,87098,84695,47532
98119,90994,139617,69497,20.90%,38095,94435,121023,63535
98121,111606,134004,90936,21.20%,60699,121570,121776,54405
98122,74598,108409,54939,14.70%,37895,81758,82129,40911
98124,,,,,,,,
98125,64429,88319,40286,8.90%,29038,75984,77656,48585
98126,80142,105735,45996,12.70%,,105028,86201,42955
98127,,,,,,,,
98133,64001,83087,38727,6.40%,30342,75544,77476,36966
98134,74773,90177,33062,9.00%,,84821,96250,60208
98136,106240,131546,60543,19.90%,55777,118015,123440,69417
98144,74688,113794,49610,13.30%,51801,93070,86406,30183
98145,,,,,,,,
98146,67556,94109,34975,8.70%,33347,57634,86618,57313
98154,,,,,,,,
98155,86525,103799,41730,10.30%,51142,95200,97229,59922
98164,155391,217663,163222,38.30%,,,,
98165,,,,,,,,
98168,56885,72280,26004,2.70%,37188,59865,66278,46366
98177,109571,145796,59544,21.80%,31722,131017,146691,68750
98178,75282,94493,34135,6.70%,32885,85401,79484,59121
98181,,,,,,,,
98191,,,,,,,,
98198,63284,84615,32378,4.90%,43991,59598,80313,53247
98199,108328,151755,67951,22.90%,60526,116802,136500,61657
98272,88684,105584,33937,9.90%,54583,100210,99681,55129
